numid,vlanid,name,ipnet,mask,gateway,ip,cidr,size,ipnum
17,1500,PROD,172.18.83.0/25,255.255.255.128,172.18.83.126,172.18.83.0,25,128,2886882048
17,900,TEST,172.18.83.128/25,255.255.255.128,172.18.83.254,172.18.83.128,25,128,2886882176
18,182,INFRA,10.50.59.0/24,255.255.255.0,10.50.59.1,10.50.59.0,24,256,171064064
18,5000,DMZ,172.18.84.0/23,255.255.254.0,172.18.85.254,172.18.84.0,23,512,2886882304
18,4000,DMZ_PUB,172.18.86.0/25,255.255.255.128,172.18.86.126,172.18.86.0,25,128,2886882816
18,2200,TOIP,172.18.86.128/26,255.255.255.192,172.18.86.190,172.18.86.128,26,64,2886882944
18,5300,IMPRESSION,172.18.86.192/26,255.255.255.192,172.18.86.254,172.18.86.192,26,64,2886883008
18,1500,PROD,172.18.87.0/25,255.255.255.128,172.18.87.126,172.18.87.0,25,128,2886883072
18,900,TEST,172.18.87.128/25,255.255.255.128,172.18.87.254,172.18.87.128,25,128,2886883200
19,192,INFRA,10.50.47.0/24,255.255.255.0,10.50.47.1,10.50.47.0,24,256,171060992
19,5000,DMZ,172.18.88.0/23,255.255.254.0,172.18.89.254,172.18.88.0,23,512,2886883328
19,4000,DMZ_PUB,172.18.90.0/25,255.255.255.128,172.18.90.126,172.18.90.0,25,128,2886883840
19,2200,TOIP,172.18.90.128/26,255.255.255.192,172.18.90.190,172.18.90.128,26,64,2886883968
19,5300,IMPRESSION,172.18.90.192/26,255.255.255.192,172.18.90.254,172.18.90.192,26,64,2886884032
19,1500,PROD,172.18.91.0/25,255.255.255.128,172.18.91.126,172.18.91.0,25,128,2886884096
19,900,TEST,172.18.91.128/25,255.255.255.128,172.18.91.254,172.18.91.128,25,128,2886884224
20,202,INFRA,10.50.52.0/24,255.255.255.0,10.50.52.1,10.50.52.0,24,256,171062272
20,5000,DMZ,172.18.92.0/23,255.255.254.0,172.18.93.254,172.18.92.0,23,512,2886884352
20,4000,DMZ_PUB,172.18.94.0/25,255.255.255.128,172.18.94.126,172.18.94.0,25,128,2886884864
20,2200,TOIP,172.18.94.128/26,255.255.255.192,172.18.94.190,172.18.94.128,26,64,2886884992
20,5300,IMPRESSION,172.18.94.192/26,255.255.255.192,172.18.94.254,172.18.94.192,26,64,2886885056
20,1500,PROD,172.18.95.0/25,255.255.255.128,172.18.95.126,172.18.95.0,25,128,2886885120
20,900,TEST,172.18.95.128/25,255.255.255.128,172.18.95.254,172.18.95.128,25,128,2886885248
21,212,INFRA,10.50.67.0/24,255.255.255.0,10.50.67.1,10.50.67.0,24,256,171066112
21,5000,DMZ,172.18.96.0/23,255.255.254.0,172.18.97.254,172.18.96.0,23,512,2886885376
21,4000,DMZ_PUB,172.18.98.0/25,255.255.255.128,172.18.98.126,172.18.98.0,25,128,2886885888
21,2200,TOIP,172.18.98.128/26,255.255.255.192,172.18.98.190,172.18.98.128,26,64,2886886016
21,5300,IMPRESSION,172.18.98.192/26,255.255.255.192,172.18.98.254,172.18.98.192,26,64,2886886080
21,1500,PROD,172.18.99.0/25,255.255.255.128,172.18.99.126,172.18.99.0,25,128,2886886144
21,900,TEST,172.18.99.128/25,255.255.255.128,172.18.99.254,172.18.99.128,25,128,2886886272
22,222,INFRA,10.50.66.0/24,255.255.255.0,10.50.66.1,10.50.66.0,24,256,171065856
22,5000,DMZ,172.18.100.0/23,255.255.254.0,172.18.101.254,172.18.100.0,23,512,2886886400
22,4000,DMZ_PUB,172.18.102.0/25,255.255.255.128,172.18.102.126,172.18.102.0,25,128,2886886912
22,2200,TOIP,172.18.102.128/26,255.255.255.192,172.18.102.190,172.18.102.128,26,64,2886887040
22,5300,IMPRESSION,172.18.102.192/26,255.255.255.192,172.18.102.254,172.18.102.192,26,64,2886887104
22,1500,PROD,172.18.103.0/25,255.255.255.128,172.18.103.126,172.18.103.0,25,128,2886887168
22,900,TEST,172.18.103.128/25,255.255.255.128,172.18.103.254,172.18.103.128,25,128,2886887296
23,232,INFRA,10.50.34.0/24,255.255.255.0,10.50.34.1,10.50.34.0,24,256,171057664
23,5000,DMZ,172.18.104.0/23,255.255.254.0,172.18.105.254,172.18.104.0,23,512,2886887424
23,4000,DMZ_PUB,172.18.106.0/25,255.255.255.128,172.18.106.126,172.18.106.0,25,128,2886887936
23,2200,TOIP,172.18.106.128/26,255.255.255.192,172.18.106.190,172.18.106.128,26,64,2886888064
23,5300,IMPRESSION,172.18.106.192/26,255.255.255.192,172.18.106.254,172.18.106.192,26,64,2886888128
23,1500,PROD,172.18.107.0/25,255.255.255.128,172.18.107.126,172.18.107.0,25,128,2886888192
23,900,TEST,172.18.107.128/25,255.255.255.128,172.18.107.254,172.18.107.128,25,128,2886888320
24,242,INFRA,10.50.64.0/24,255.255.255.0,10.50.64.1,10.50.64.0,24,256,171065344
24,5000,DMZ,172.18.108.0/23,255.255.254.0,172.18.109.254,172.18.108.0,23,512,2886888448
24,4000,DMZ_PUB,172.18.110.0/25,255.255.255.128,172.18.110.126,172.18.110.0,25,128,2886888960
24,2200,TOIP,172.18.110.128/26,255.255.255.192,172.18.110.190,172.18.110.128,26,64,2886889088
24,5300,IMPRESSION,172.18.110.192/26,255.255.255.192,172.18.110.254,172.18.110.192,26,64,2886889152
24,1500,PROD,172.18.111.0/25,255.255.255.128,172.18.111.126,172.18.111.0,25,128,2886889216
24,900,TEST,172.18.111.128/25,255.255.255.128,172.18.111.254,172.18.111.128,25,128,2886889344
25,252,INFRA,10.50.50.0/24,255.255.255.0,10.50.50.1,10.50.50.0,24,256,171061760
25,5000,DMZ,172.18.112.0/23,255.255.254.0,172.18.113.254,172.18.112.0,23,512,2886889472
25,4000,DMZ_PUB,172.18.114.0/25,255.255.255.128,172.18.114.126,172.18.114.0,25,128,2886889984
25,2200,TOIP,172.18.114.128/26,255.255.255.192,172.18.114.190,172.18.114.128,26,64,2886890112
25,5300,IMPRESSION,172.18.114.192/26,255.255.255.192,172.18.114.254,172.18.114.192,26,64,2886890176
25,1500,PROD,172.18.115.0/25,255.255.255.128,172.18.115.126,172.18.115.0,25,128,2886890240
25,900,TEST,172.18.115.128/25,255.255.255.128,172.18.115.254,172.18.115.128,25,128,2886890368
26,262,INFRA,10.50.51.0/24,255.255.255.0,10.50.51.1,10.50.51.0,24,256,171062016
26,5000,DMZ,172.18.116.0/23,255.255.254.0,172.18.117.254,172.18.116.0,23,512,2886890496
26,4000,DMZ_PUB,172.18.118.0/25,255.255.255.128,172.18.118.126,172.18.118.0,25,128,2886891008
26,2200,TOIP,172.18.118.128/26,255.255.255.192,172.18.118.190,172.18.118.128,26,64,2886891136
26,5300,IMPRESSION,172.18.118.192/26,255.255.255.192,172.18.118.254,172.18.118.192,26,64,2886891200
26,1500,PROD,172.18.119.0/25,255.255.255.128,172.18.119.126,172.18.119.0,25,128,2886891264
26,900,TEST,172.18.119.128/25,255.255.255.128,172.18.119.254,172.18.119.128,25,128,2886891392
27,272,INFRA,10.50.29.0/24,255.255.255.0,10.50.29.1,10.50.29.0,24,256,171056384
27,5000,DMZ,172.18.120.0/23,255.255.254.0,172.18.121.254,172.18.120.0,23,512,2886891520
27,4000,DMZ_PUB,172.18.122.0/25,255.255.255.128,172.18.122.126,172.18.122.0,25,128,2886892032
27,2200,TOIP,172.18.122.128/26,255.255.255.192,172.18.122.190,172.18.122.128,26,64,2886892160
27,5300,IMPRESSION,172.18.122.192/26,255.255.255.192,172.18.122.254,172.18.122.192,26,64,2886892224
27,1500,PROD,172.18.123.0/25,255.255.255.128,172.18.123.126,172.18.123.0,25,128,2886892288
27,900,TEST,172.18.123.128/25,255.255.255.128,172.18.123.254,172.18.123.128,25,128,2886892416
28,282,INFRA,10.50.82.0/24,255.255.255.0,10.50.82.1,10.50.82.0,24,256,171069952
28,5000,DMZ,172.18.124.0/23,255.255.254.0,172.18.125.254,172.18.124.0,23,512,2886892544
28,4000,DMZ_PUB,172.18.126.0/25,255.255.255.128,172.18.126.126,172.18.126.0,25,128,2886893056
28,2200,TOIP,172.18.126.128/26,255.255.255.192,172.18.126.190,172.18.126.128,26,64,2886893184
28,5300,IMPRESSION,172.18.126.192/26,255.255.255.192,172.18.126.254,172.18.126.192,26,64,2886893248
28,1500,PROD,172.18.127.0/25,255.255.255.128,172.18.127.126,172.18.127.0,25,128,2886893312
28,900,TEST,172.18.127.128/25,255.255.255.128,172.18.127.254,172.18.127.128,25,128,2886893440
29,292,INFRA,10.50.81.0/24,255.255.255.0,10.50.81.1,10.50.81.0,24,256,171069696
29,5000,DMZ,172.18.128.0/23,255.255.254.0,172.18.129.254,172.18.128.0,23,512,2886893568
